Open,High,Low,Close
1.1308225,1.1284411,1.1357639,1.1302108
1.1318574,1.1295079,1.136741,1.1312507
1.1318706,1.129536,1.13675,1.131261
1.1303118,1.1279082,1.1352596,1.1296889
1.1309355,1.1285521,1.135864,1.1303232
1.1297566,1.1273333,1.134737,1.1291324
1.1289874,1.1265424,1.134021,1.1283635
1.1283089,1.1258359,1.1333789,1.1276814
1.1291436,1.1266874,1.1341662,1.1285213
1.1273685,1.1248521,1.1324475,1.126721
1.126187,1.1236123,1.1313574,1.1255461
1.1267936,1.1242547,1.1319318,1.1261544
1.1262645,1.123716,1.1314402,1.1256248
1.1261646,1.1236123,1.1313496,1.1255261
1.1255983,1.1230307,1.1308142,1.1249565
1.1242777,1.121655,1.1295516,1.1236248
1.1231947,1.1205201,1.1285204,1.1225349
1.1226794,1.1199886,1.1280361,1.1220173
1.1228563,1.1201818,1.1282153,1.122199
1.1223195,1.1196232,1.1277019,1.121658
1.1220245,1.119316,1.1274307,1.1213645
1.1216234,1.1188948,1.1270362,1.1209558
1.1214277,1.118685,1.1268446,1.120758
1.1218807,1.1191416,1.127279,1.1212167
1.1228482,1.1201752,1.1282078,1.1221908
1.1215849,1.1188651,1.1270027,1.1209174
1.1210481,1.1183006,1.1265068,1.1203834
1.1212946,1.1185596,1.1267369,1.1206295
1.121624,1.1188989,1.1270486,1.1209611
1.1214861,1.118762,1.1269203,1.1208223
1.1215072,1.118784,1.1269426,1.1208447
1.1208054,1.1180537,1.1262746,1.120138
1.120864,1.1181115,1.1263313,1.1201977
1.1214894,1.1187577,1.1269231,1.1208265
1.1221187,1.119403,1.1275095,1.1214563
1.124064,1.1214082,1.129349,1.1234138
1.1244227,1.121801,1.1297008,1.1237761
1.1243807,1.1217641,1.1296642,1.1237339
1.1239868,1.1213546,1.1292851,1.1233355
1.1232345,1.120568,1.1285635,1.1225764
1.1243957,1.1217432,1.1296597,1.1237458
1.1278853,1.1253252,1.1329283,1.1272441
1.1323086,1.1299542,1.1371539,1.1317017
1.1334369,1.1311502,1.1382363,1.1328379
1.133727,1.131458,1.1385114,1.1331288
1.1352557,1.133015,1.1399475,1.1346651
1.1360852,1.1338974,1.140738,1.1354986
1.1365921,1.1343937,1.141202,1.1360065
1.1369861,1.1348206,1.1415927,1.1364058
1.1373273,1.1351941,1.1419191,1.1367477
1.1363196,1.1341505,1.1409624,1.1357332
1.1377563,1.1355947,1.1423078,1.1371773
1.1412745,1.1392486,1.1456418,1.1407148
1.1428058,1.1408664,1.1471015,1.142255
1.1420809,1.1401227,1.1464245,1.1415285
1.1419468,1.1399828,1.1462994,1.1413943
1.1415721,1.1395987,1.1459391,1.1410148
1.1425123,1.1405481,1.1468251,1.1419616
1.1443542,1.1424564,1.1485577,1.1438099
1.1424147,1.1404402,1.1466925,1.1418471
1.1430563,1.1411318,1.1473457,1.1425081
